Item,Make,Model,Part Number,Qty,Notes
Anemometer,InSpeed,VERSION II HALL SENSOR ANEMOMETER,WS2H,1,"25' wire, Std flat mounting bracket"
Connector,TE Connectivity,"M12,MALE,STRAIGHT,A CODE,5P",T4111001051-000,1,
